"","coef(modFull)"
"(Intercept)",7.39557687332929
"OPG:VariableE64_Prim",-1.6546772835273e-06
"OPG:VariableE64_Sec",-3.04482914431274e-05
"OPG:VariableE88_Prim",2.98740512906732e-06
"OPG:VariableE88_Sec",-2.47698576361947e-06
"Genome_copies_gFaeces:VariableE64_Prim",-1.39373027480926e-09
"Genome_copies_gFaeces:VariableE64_Sec",-2.31527675717543e-09
"Genome_copies_gFaeces:VariableE88_Prim",-7.80262264755689e-10
"Genome_copies_gFaeces:VariableE88_Sec",2.54659713711766e-09
"OPG:Genome_copies_gFaeces:VariableE64_Prim",1.58464889967947e-15
"OPG:Genome_copies_gFaeces:VariableE64_Sec",5.33852663529811e-14
"OPG:Genome_copies_gFaeces:VariableE88_Prim",1.57673107982276e-15
"OPG:Genome_copies_gFaeces:VariableE88_Sec",-1.28539383416642e-17
